product,country,type,total_tons_exported,income,years
sugar,Algeria,Export,6696854.262,2176380928,"2017,2018,2019"
sugar,Bangladesh,Export,6331640.155,2063174600,"2017,2018,2019"
sugar,India,Export,5111371.882,1696094938,"2017,2018,2019"
sugar,United Arab Emirates,Export,4545802.219,1538397895,"2017,2018,2019"
sugar,Saudi Arabia,Export,4249461.903,1380455693,"2017,2018,2019"
sugar,Nigeria,Export,4156814.026,1336515029,"2017,2018,2019"
sugar,Iraq,Export,3555241.197,1158541230,"2017,2018,2019"
sugar,Malaysia,Export,2981729.159,1039031070,"2017,2018,2019"
sugar,Egypt,Export,3071223.738,1010584065,"2017,2018,2019"
sugar,Morocco,Export,2850892.879,931580393,"2017,2018,2019"
sugar,Canada,Export,2461989.798,848568223,"2017,2018,2019"
sugar,China,Export,2526863.982,742210044,"2017,2018,2019"
sugar,Yemen,Export,1737514.636,588608579,"2017,2018,2019"
sugar,United States,Export,924980.725,517542851,"2017,2018,2019"
sugar,Iran,Export,1432084.983,480091597,"2017,2018,2019"
sugar,Angola,Export,1146396.134,426284550,"2017,2018,2019"
sugar,Indonesia,Export,1093907.638,402883915,"2017,2018"
sugar,Russia,Export,1036085.146,354459374,"2017,2018,2019"
sugar,Tunisia,Export,1027844.142,342332161,"2017,2018,2019"
sugar,Benin,Export,889093.373,317432214,"2017,2018,2019"
sugar,Venezuela,Export,750191.911,288530301,"2017,2018,2019"
sugar,South Africa,Export,501105.99,205397674,"2017,2018,2019"
sugar,Togo,Export,557476.701,202634484,"2017,2018,2019"
sugar,Georgia,Export,611192.361,202337547,"2017,2018,2019"
sugar,Ghana,Export,513766.64,195644667,"2017,2018,2019"
sugar,Somalia,Export,419888.117,149312349,"2017,2018,2019"
sugar,Gambia,Export,400642.0,146738322,"2017,2018,2019"
sugar,Kenya,Export,389585.438,141317930,"2017,2018,2019"
sugar,Mauritania,Export,267976.15,109847694,"2017,2018,2019"
sugar,Guinea,Export,289971.05,106377763,"2017,2018,2019"
sugar,Myanmar,Export,197573.6,104859371,2017
sugar,Croatia,Export,302268.75,92467338,"2017,2018,2019"
sugar,Madagascar,Export,220480.31,85172449,"2017,2018,2019"
sugar,Senegal,Export,200321.75,84811075,"2017,2018,2019"
sugar,Mauritius,Export,206503.798,79522944,"2017,2018,2019"
sugar,Chile,Export,238793.998,77438003,"2017,2018,2019"
sugar,Syria,Export,236350.0,74403152,"2017,2018,2019"
sugar,Uruguay,Export,232522.517,73789412,"2017,2018,2019"
sugar,Cote D'Ivore,Export,203857.0,73658357,"2017,2018,2019"
sugar,Estonia,Export,171660.0,66890669,2017
sugar,Israel,Export,141508.715,58036819,"2017,2018,2019"
sugar,United Kingdom,Export,174193.598,57765824,"2017,2018,2019"
sugar,Spain,Export,133639.625,52131839,"2017,2018,2019"
sugar,Colombia,Export,126775.135,51801553,"2017,2018,2019"
sugar,Djibouti,Export,112112.9,47068818,"2017,2018"
sugar,Romania,Export,122217.16,46229133,"2017,2018,2019"
sugar,Cameroon,Export,114393.0,44766039,"2017,2018,2019"
sugar,Netherlands,Export,63535.125,42458523,"2017,2018,2019"
sugar,Peru,Export,97801.384,41025963,"2017,2018,2019"
sugar,Portugal,Export,123896.558,39717316,"2017,2018,2019"
sugar,Uzbekistan,Export,147015.651,39069039,"2018,2019"
sugar,Lebanon,Export,109652.1,37161274,"2017,2018,2019"
sugar,Taiwan,Export,101502.634,35404141,"2017,2018,2019"
sugar,Belgium,Export,38028.176,30715078,"2017,2018,2019"
sugar,Sudan,Export,80755.0,29227277,2017
sugar,Finland,Export,87775.886,28407165,"2017,2018,2019"
sugar,France,Export,33235.274,26582390,"2017,2018,2019"
