,year,price_corn,gdp_china,gdp_iran,gpd_netherlands,gdp_spain,gdp_thailand,gdp_world,gdp_egypt,gdp_japan,gdp_vietnam,tons_exported
18,1997,93.2041795682214,560.722749656803,106.976296350351,152.738204086767,156.728085115043,345.124056575418,173.936617617197,218.68367795051,180.133770648001,299.095195032207,356895.029
19,1998,80.8313746152543,604.459124130033,109.008845981008,159.916899678845,163.78084894522,318.894628275686,178.458969675245,235.084953796798,178.152299170873,316.442716344075,6033.643
20,1999,71.8239362984367,651.002476688046,109.335872518951,167.912744662787,171.478548845645,333.563781176367,184.883492583553,249.425135978403,177.617842273361,331.631966728591,5321.076
21,2000,70.1735197169282,706.33768720653,116.880047722759,174.965079938624,180.223954836773,348.574151329304,193.757900227564,262.894093321237,182.591141857015,354.182940466135,5554.7559999999985
22,2001,71.2791151798338,765.670052931878,117.815088104541,178.989276777213,187.252689075407,360.4256724745,198.601847733253,272.09538658748,183.321506424443,378.621563358298,5410198.846
23,2002,79.0141221616432,835.346027748679,129.950042179308,179.347255330767,192.308511680443,382.411638495445,204.559903165251,280.802438958279,183.504827930867,405.503694356737,2727390.128
24,2003,83.716867754225,918.880630523547,141.905446059805,179.705949841429,198.077767030856,409.945276467117,213.355979001356,289.788117004944,186.25740034983,435.105464044779,3509735.479
25,2004,89.0061795992294,1012.60645483695,147.581663902197,183.300068838257,204.218177808813,435.771828884545,224.87720186743,301.669429802147,190.355063157527,469.043690240272,4892188.461
26,2005,78.357390950297,1128.04359068836,155.108328761209,186.966070215022,211.774250387739,454.074245697696,235.896184758934,315.244554143243,193.591099231205,504.221967008292,1069451.576
27,2006,96.7637758887631,1271.30512670578,163.329070185553,193.509882672548,220.456994653636,476.777957982581,248.870474920675,336.681183824984,196.301374620441,539.517504698873,3936309.58
28,2007,130.142623197599,1453.10175982471,174.272117887985,200.863258214105,228.393446461167,502.52396771364,262.807221516233,360.585547876558,199.638497988989,577.823247532492,10907483.192
29,2008,177.67076167009,1594.05263052771,174.097845770097,205.282249894815,230.448987479317,511.066875164772,270.69143816172,386.54770732367,197.44247451111,610.759172641845,6430380.628
30,2009,131.74819371244,1743.89357779731,174.097845770097,197.686806648707,221.691925955103,507.489407038619,270.420746723558,404.715449567882,186.78058088751,643.740167964504,7781248.36
31,2010,147.918118914614,1928.74629704383,184.021422978993,200.25673513514,222.135309807014,545.551112566515,285.02346704663,425.355937495844,194.625365284785,684.939538714233,10759314.76
32,2011,232.153787894148,2111.97719526299,189.726087091341,203.260586162167,220.358227328557,549.915521467047,297.279476129635,433.01234437077,194.430739919501,728.775669191943,9479281.115
33,2012,237.39057068922,2278.82339368877,175.117178385308,201.227980300546,213.747480508701,589.509439012674,307.684257794173,442.538615946927,197.347201018293,768.8583309975,19796146.972
34,2013,206.003847192195,2456.57161839649,174.591826850152,201.026752320245,210.755015781579,605.426193866017,318.453206816969,457.142390273175,201.294145038659,811.91439753336,26620465.944
35,2014,153.472493995593,2635.90134653944,180.178765309357,203.841126852729,213.705586002521,611.480455804677,329.91752226238,470.399519591097,202.099321618814,863.876918975495,20630221.16
36,2015,135.102018459984,2817.77853945066,177.295905064407,207.917949389783,221.826398270617,630.436349934622,341.464635541563,491.097098453105,204.524513478239,924.34830330378,28900376.804
37,2016,126.651480310161,3009.3874801333,199.457893197458,212.492144276358,228.481190218735,651.871185832399,353.074433149976,512.214273686589,205.547136045631,986.279639625133,21864440.915
38,2017,122.971791935123,3217.0352162625,206.837835245764,218.654416460373,235.107144735079,678.597904451527,366.844336042825,533.215058907739,210.069173038635,1054.33293475927,29255329.877
39,2018,130.859269095613,3432.57657575209,195.668592142493,224.339431288342,240.749716208721,707.099016438491,380.050732140367,561.475457029849,210.69938055775,1129.19057312718,22747267.872
40,2019,135.36038566642,3641.96374687296,180.797779139663,228.377541051533,245.564710532895,724.069392833015,391.072203372437,592.918082623521,212.174276221655,1208.23391324608,41831922.701
41,2020,127.3455076835,3685.66731183544,169.949912391284,211.249225472668,225.919533690263,675.556743513203,379.328744852979,604.776444275991,201.141213858129,1240.85622890372,0.0
42,2021,130.855975796889,4024.7487045243,175.218359675413,217.586702236848,235.634073638945,716.765704867508,401.3189738169,621.710184715719,207.175450273872,1327.71616492698,0.0
43,2022,134.463215179239,4230.01088845504,181.266859259503,220.415329365927,238.697316596251,741.508300767915,415.172417318571,643.171484779499,208.832853876063,1395.42968933826,0.0
44,2023,138.169893474352,4441.51143287779,187.576608864372,223.721559306416,242.277776345195,767.31959207009,429.624226142477,665.559752764771,210.503516707072,1465.20117380517,0.0
45,2024,141.97875186359,4663.58700452168,194.212029311119,227.301104255318,246.154220766718,794.463105012541,444.821949311813,689.103566776358,212.187544840728,1538.46123249543,0.0
46,2025,145.892607093055,4892.10276774324,201.152294824981,231.278873579786,250.461919630135,822.853647603092,460.717887609602,713.729032752599,213.885045199454,1613.84583288771,0.0
47,2026,150.142281441363,5126.92370059492,208.285085476641,235.511276966296,255.045372759367,852.031752731918,477.054784211521,739.037616863288,215.38224051585,1691.31043286632,0.0
48,2027,154.39195578967,5362.76219082228,215.582431470005,239.985991228656,259.891234841795,881.883004360371,493.768577281316,764.930076613928,216.889916199461,1769.11071277817,0.0
49,2028,158.641630137978,5604.08648940929,223.147862178115,244.665718057615,264.95911392121,912.830910071678,511.096389811269,791.773755162832,218.408145612858,1848.72069485318,0.0
